id,Entidad,Municipio,Aborto,Abuso_de_confianza,Abuso_sexual,Acoso_sexual,Allanamiento_de_morada,Amenazas,Contra_el_medio_ambiente,Corrupcion_de_menores,Dano_a_la_propiedad,por_servidores_publicos,Despojo,Electorales,Evasion_de_presos,Extorsion,Falsedad,Falsificacion,Feminicidio,Fraude,Homicidio,Hostigamiento_sexual,Incesto,Incump_obligaciones_asistencia_fam,Lesiones,Narcomenudeo,contra_el_patrimonio,Otros_contra_la_familia,Otros_contra_la_sociedad,Otros_Fuero_Comun,libertad_personal,libertad_seguridad_sexual,vida_integridad_corporal,Rapto,Robo,Secuestro,Trafico_de_menores,Trata_de_personas,Violacion_equiparada,Violacion_simple,Violencia_de_genero,Violencia_familiar,XCOORD,YCOORD
01010001,Durango,Canatlan,0,0.291666667,0.177083333,0.03125,0.010416667,0.479166667,0,0,1.458333333,0,0.458333333,0,0,0.0625,0.010416667,0.010416667,0.002604167,1.322916667,0.076388889,0.010416667,0,0.041666667,0.236111111,0.5625,0.03125,0.0625,0,2.354166667,0.0625,0.114583333,0.052083333,0,0.138599537,0,0,0,0.020833333,0.25,0,0.729166667,-104.9359398,24.51120376
01010002,Durango,Canelas,0,0,0.010416667,0,0,0.0625,0,0,0.010416667,0,0.041666667,0,0,0,0,0,0,0,0.019675926,0,0,0,0.002314815,0.083333333,0,0,0,0.072916667,0,0,0.010416667,0,0.003472222,0,0,0,0,0,0,0.010416667,-106.4511148,25.07277518
01010003,Durango,Coneto de Comonfort,0,0,0,0,0,0.083333333,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0.005787037,0,0,0,0.00462963,0.03125,0,0,0,0.0625,0,0,0,0,0.001157407,0,0,0,0,0,0,0,-104.7836194,25.03393662
01010004,Durango,Cuencame,0,0.46875,0.333333333,0.041666667,0.0625,0.947916667,0,0,2.583333333,0,0.791666667,0.03125,0.010416667,0.010416667,0.03125,0.052083333,0.002604167,0.739583333,0.104166667,0,0,0.0625,0.219907407,0.708333333,0.302083333,0.09375,0.020833333,1.833333333,0.114583333,0.15625,0.010416667,0,0.152488426,0.004166667,0,0,0,0.260416667,0,1.125,-103.7004473,24.69419192
01010005,Durango,Durango,0.125,34.02083333,17.35416667,1.895833333,8.583333333,66.09375,0.041666667,0.989583333,129.3645833,7.927083333,17.97916667,0.333333333,0.03125,3.979166667,0.520833333,1.416666667,0.049479167,104.4166667,0.872685185,0.583333333,0.010416667,3.15625,18.66087963,20.94791667,15.66666667,13.19791667,1.739583333,34.97916667,11.83333333,10.01041667,2.072916667,0,12.39380787,0.014583333,0,0.052083333,0.520833333,9.958333333,0.135416667,269.0625,-104.8438437,23.97045619
01010006,Durango,General Simon Bolivar,0,0.072916667,0.020833333,0,0.010416667,0.020833333,0,0,0.052083333,0,0.145833333,0,0,0,0,0,0,0.052083333,0.00462963,0,0,0,0.013888889,0.03125,0.03125,0.010416667,0,0.041666667,0.020833333,0,0.010416667,0,0.006655093,0.002083333,0,0,0,0.010416667,0,0.0625,-103.2117375,24.76130526
01010007,Durango,Gomez Palacio,0.03125,8.260416667,8.177083333,1.010416667,2.46875,31.33333333,0,0.0625,38.4375,1.135416667,5.989583333,0.125,0.072916667,0.447916667,0.4375,3.9375,0.041666667,16.33333333,0.69212963,0.395833333,0,2.239583333,9.667824074,22.96875,1.1875,7.625,0.208333333,20.48958333,1.541666667,3.6875,0.5,0,4.925347222,0.04375,0.010416667,0.010416667,0.052083333,3.25,0.114583333,101.8125,-103.490646,25.72795936
01010008,Durango,Guadalupe Victoria,0,1.125,0.229166667,0.052083333,0.072916667,1.177083333,0,0,2.09375,0,0.645833333,0.020833333,0,0.229166667,0,0.041666667,0.0078125,4.53125,0.069444444,0.020833333,0,0.333333333,0.429398148,0.729166667,0.041666667,0.052083333,0.020833333,4.354166667,0.177083333,0.135416667,0.020833333,0,0.214699074,0,0,0,0,0.197916667,0,0.895833333,-104.0731944,24.41256458
01010009,Durango,Guanacevi,0,0.010416667,0.010416667,0.010416667,0,0.177083333,0,0,0.21875,0,0.177083333,0,0,0.052083333,0,0.010416667,0,0.083333333,0.038194444,0,0,0.010416667,0.040509259,0.010416667,0,0.03125,0.010416667,0.270833333,0.010416667,0.010416667,0.010416667,0,0.028935185,0,0,0,0,0.03125,0,0.03125,-106.0669734,25.99624596
01010010,Durango,Hidalgo,0,0.010416667,0,0,0,0,0,0,0.010416667,0,0.010416667,0,0,0,0,0,0,0,0.011574074,0,0,0,0.002314815,0,0,0,0,0.020833333,0,0.010416667,0,0,0.001446759,0,0,0,0,0,0,0.010416667,-104.8169032,26.09012404
